,stop_lat,stop_lon,members,stop_id
26,-34.652955,-58.68067,"[np.float64(6410106748.0), np.float64(6410106749.0), np.float64(6410132543.0), np.float64(6410129398.0), np.float64(6410129397.0), np.float64(6410108974.0), np.float64(6410108975.0)]",
27,-34.43466,-58.566407,"[np.float64(6749104926.0), np.float64(6749104924.0), np.float64(6749104925.0), np.float64(6749127963.0), np.float64(6749104278.0), np.float64(6749104277.0), np.float64(6805120468.0)]",
28,-34.463917,-58.664913,"[np.float64(6805122476.0), np.float64(6805122475.0), np.float64(6805100740.0), np.float64(6805100741.0), np.float64(6805127396.0), np.float64(6805116790.0), np.float64(6805116791.0)]",
29,-34.629693,-58.65448,"[np.float64(6408109088.0), np.float64(6408109087.0), np.float64(6408124739.0), np.float64(6410117822.0), np.float64(6410117821.0), np.float64(6408124756.0), np.float64(6408124755.0), np.float64(6408130247.0)]",
30,-34.460442,-58.679475,"[np.float64(6805118684.0), np.float64(6805118683.0), np.float64(6805130800.0), np.float64(6805103413.0), np.float64(6805132606.0), np.float64(6805132605.0), np.float64(6805111565.0), np.float64(6805111564.0), np.float64(6805121933.0)]",
31,-34.626983,-58.383783,"[np.float64(201598.0), np.float64(201537.0), np.float64(201600.0), np.float64(201539.0), np.float64(201595.0), np.float64(201593.0), np.float64(201541.0), np.float64(2088.0), np.float64(201535.0), np.float64(201536.0), np.float64(201603.0)]",
32,-34.675622,-58.526087,"[np.float64(6427131100.0), np.float64(6427131101.0), np.float64(6427107265.0), np.float64(6427107266.0), np.float64(6427118878.0), np.float64(6427118877.0), np.float64(6427121257.0)]",
33,-34.702265,-58.681555,"[np.float64(6539110541.0), np.float64(6539110540.0), np.float64(6539109822.0), np.float64(6539109823.0), np.float64(6539117868.0), np.float64(6539117867.0), np.float64(6539116754.0), np.float64(6539101620.0), np.float64(6539101619.0)]",
34,-34.623835,-58.368072,"[np.float64(207054.0), np.float64(202529.0), np.float64(202528.0), np.float64(202510.0), np.float64(202527.0), np.float64(202512.0), np.float64(202526.0), np.float64(201473.0)]",
35,-34.764885,-58.368445,"[np.float64(6490110183.0), np.float64(6490110182.0), np.float64(6490104185.0), np.float64(6490104186.0), np.float64(6490117523.0), np.float64(6490117524.0), np.float64(6490103044.0)]",
36,-34.668815,-58.534118,"[np.float64(6427101003.0), np.float64(6427101002.0), np.float64(6427107688.0), np.float64(6427107689.0), np.float64(6427122725.0), np.float64(6427122726.0), np.float64(6427111422.0), np.float64(6427111423.0)]",
37,-34.679698,-58.670807,"[np.float64(6410113249.0), np.float64(6410113250.0), np.float64(6410124440.0), np.float64(6410124439.0), np.float64(6410123367.0), np.float64(6410130621.0)]",
38,-34.74349,-58.272675,"[np.float64(6658124397.0), np.float64(6658124398.0), np.float64(6658112756.0), np.float64(6658112757.0), np.float64(6658106322.0), np.float64(6658106323.0), np.float64(6658113540.0)]",
39,-34.524742,-58.553412,"[np.float64(6756121796.0), np.float64(6756121797.0), np.float64(6756121712.0), np.float64(6756128091.0), np.float64(6756115322.0), np.float64(6756114392.0), np.float64(6756114393.0)]",
40,-34.694905,-58.532922,"[np.float64(6427100145.0), np.float64(6427100146.0), np.float64(6427100147.0), np.float64(6427124971.0), np.float64(6427101772.0), np.float64(6427101771.0), np.float64(6427119516.0)]",
41,-34.722343,-58.338725,"[np.float64(635104913.0), np.float64(635104911.0), np.float64(6434104914.0), np.float64(6434104912.0), np.float64(635102948.0), np.float64(635102949.0), np.float64(6434128474.0)]",
42,-34.812,-58.334927,"[np.float64(628107333.0), np.float64(628107334.0), np.float64(628118218.0), np.float64(628109120.0), np.float64(628109904.0), np.float64(628109905.0), np.float64(628111857.0), np.float64(628111856.0)]",
43,-34.633573,-58.480758,"[np.float64(201705.0), np.float64(2031249.0), np.float64(2033133.0), np.float64(201707.0), np.float64(2031233.0), np.float64(2031285.0), np.float64(201703.0), np.float64(201704.0), np.float64(201798.0), np.float64(201800.0)]",
44,-34.71486,-58.451505,"[np.float64(6490108617.0), np.float64(6490108619.0), np.float64(6490108618.0), np.float64(6490108873.0), np.float64(6490109268.0), np.float64(6490109269.0), np.float64(6490105517.0), np.float64(6490105516.0), np.float64(6490125339.0), np.float64(6490131811.0)]",
45,-34.618777,-58.531263,"[np.float64(2032953.0), np.float64(6840100237.0), np.float64(2031429.0), np.float64(2031120.0), np.float64(2031959.0), np.float64(2033093.0), np.float64(6840123299.0), np.float64(6840122175.0), np.float64(6840109924.0)]",
46,-34.915232,-57.935842,"[np.float64(6441134587.0), np.float64(6441134699.0), np.float64(6441134304.0), np.float64(6441127779.0), np.float64(6441134673.0), np.float64(6441119531.0), np.float64(6441131401.0), np.float64(6441133827.0), np.float64(6441133608.0)]",
47,-34.631565,-58.472767,"[np.float64(203093.0), np.float64(203098.0), np.float64(203094.0), np.float64(203097.0), np.float64(203092.0), np.float64(203095.0), np.float64(203096.0), np.float64(201729.0)]",
48,-34.747632,-58.471978,"[np.float64(6490124523.0), np.float64(6490124524.0), np.float64(6490118350.0), np.float64(6490118349.0), np.float64(6490122266.0), np.float64(6490133756.0), np.float64(6490134564.0)]",
49,-34.61382,-58.524897,"[np.float64(201045.0), np.float64(201046.0), np.float64(201044.0), np.float64(2033142.0), np.float64(20913.0), np.float64(201632.0), np.float64(201631.0), np.float64(201622.0), np.float64(201634.0)]",
50,-34.919072,-57.944147,"[np.float64(6441115197.0), np.float64(6441115198.0), np.float64(6441126616.0), np.float64(6441114844.0), np.float64(6441114845.0), np.float64(6441109210.0), np.float64(6441119186.0), np.float64(6441119185.0), np.float64(6441109623.0)]",
51,-34.500465,-58.544868,"[np.float64(6756103064.0), np.float64(6756103065.0), np.float64(6756109037.0), np.float64(6756109036.0), np.float64(6756113085.0), np.float64(6756133022.0), np.float64(6756133036.0)]",
